áWbëÂí√ (551-A1),,,,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã],,,
3.1,0.32,0.32,19.1,-46.2,,,
3.6,1.24,0.45,27,-33.6,,,
3.7,0.22,0.54,32.4,-18.7,,,
3.5,0.08,0.43,34.6,-2,,,
3,0.13,0.49,33.2,14.9,,,
3.1,0.13,0.41,28.5,30.3,,,
2.8,0.07,0.26,21.1,43.5,,,
3.3,0.09,0.14,11.8,54.5,,,
3.1,0.03,0.02,1.2,63.9,,,
3,0,0,0,0,,,
2.9,0,0,0,0,,,
2.5,0,0,0,0,,,
2.6,0,0,0,0,,,
2.6,0,0,0,0,,,
0.8,0,0,0,0,,,
-0.2,0,0,0,0,,,
-0.5,0,0,0,0,,,
-1.1,0,0,0,0,,,
-0.8,0,0,0,0,,,
-0.9,0,0,0,0,,,
-0.4,0,0,0,0,,,
0,0,0,0,0,,,
-0.8,0.01,0.02,0,0,,,
-0.7,1.1,0.14,9.5,-57,,,
1.6,1.86,0.22,19.2,-46.4,,,
5,0.99,0.48,27.1,-33.8,,,
5.9,0.82,0.61,32.6,-18.8,,,
6.9,2.31,0.3,34.8,-2.1,,,
7.9,1.35,0.54,33.4,14.9,,,
8.5,0.66,0.54,28.7,30.4,,,
7.8,1.17,0.35,21.3,43.6,,,
6.3,0.2,0.18,12,54.6,,,
5.6,0.12,0.03,1.4,64,,,
5.2,0,0,0,0,,,
5.4,0,0,0,0,,,
6.5,0,0,0,0,,,
6.5,0,0,0,0,,,
6.6,0,0,0,0,,,
6,0,0,0,0,,,
6,0,0,0,0,,,
5.5,0,0,0,0,,,
5.3,0,0,0,0,,,
4.9,0,0,0,0,,,
4.8,0,0,0,0,,,
3.3,0,0,0,0,,,
2.5,0,0,0,0,,,
2,0.01,0.02,0,0,,,
2.1,0.82,0.16,9.6,-57.2,,,
4.6,1.92,0.22,19.3,-46.6,,,
7.3,2.2,0.26,27.3,-34,,,
8.7,2.33,0.28,32.8,-19,,,
9.2,2.34,0.3,35,-2.2,,,
9,2.33,0.29,33.7,14.8,,,
10.4,1.14,0.5,28.9,30.4,,,
9,0.68,0.39,21.5,43.7,,,
7.7,0.23,0.18,12.2,54.7,,,
7.5,0.12,0.03,1.6,64.1,,,
6.6,0,0,0,0,,,
5.1,0,0,0,0,,,
5,0,0,0,0,,,
3.8,0,0,0,0,,,
4.4,0,0,0,0,,,
4.2,0,0,0,0,,,
4.2,0,0,0,0,,,
4.4,0,0,0,0,,,
4.3,0,0,0,0,,,
4.6,0,0,0,0,,,
4.6,0,0,0,0,,,
4.7,0,0,0,0,,,
4.3,0,0,0,0,,,
4.4,0.01,0.01,0,0,,,
4.5,0.01,0.06,9.7,-57.5,,,
4.6,0.03,0.17,19.4,-46.9,,,
5,0.02,0.23,27.4,-34.2,,,
5.3,0.02,0.29,33,-19.1,,,
6.3,0.01,0.31,35.3,-2.3,,,
6.9,0.02,0.21,33.9,14.8,,,
6.9,0.01,0.18,29.2,30.4,,,
7.3,0.01,0.14,21.7,43.8,,,
6.9,0.01,0.07,12.4,54.9,,,
7.1,0.01,0.02,1.8,64.3,,,
7.1,0,0,0,0,,,
7.2,0,0,0,0,,,
7,0,0,0,0,,,
7.3,0,0,0,0,,,
6.9,0,0,0,0,,,
6.8,0,0,0,0,,,
6.8,0,0,0,0,,,
7.2,0,0,0,0,,,
6.8,0,0,0,0,,,
7,0,0,0,0,,,
7.6,0,0,0,0,,,
7.6,0,0,0,0,,,
7.7,0,0,0,0,,,
7.6,0.01,0.01,0,0,,,
7.9,0.06,0.1,9.8,-57.7,,,
8.9,0.06,0.2,19.6,-47.1,,,
